,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
92,teahupoo,55,PF,1650842772,68,-17.8333,-149.2667,80.56,4.18
93,hofn,98,IS,1650842629,91,64.2539,-15.2082,42.01,5.41
94,kristiansund,51,NO,1650842772,81,63.1115,7.732,44.65,13.8
95,temba,,,,,,,,
96,igarka,94,RU,1650842773,100,67.4667,86.5833,-11.6,4.32
97,cayenne,20,GF,1650842773,1,4.9333,-52.3333,81.09,4.61
98,kasongo-lunda,100,CD,1650842773,95,-6.4667,16.8167,70.99,1.72
99,vila velha,40,BR,1650842505,83,-20.3297,-40.2925,78.75,10.36
100,barentsburg,,,,,,,,
101,nguiu,,,,,,,,
102,san vicente,15,AR,1650842774,94,-26.6167,-54.1333,66.69,3.58
103,longyearbyen,75,SJ,1650842492,66,78.2186,15.6401,6.64,11.5
104,dunedin,77,NZ,1650842774,64,-45.8742,170.5036,59.61,15.77
105,hammerfest,100,NO,1650842775,100,70.6634,23.6821,32.45,5.75
106,coihaique,100,CL,1650842570,87,-45.5752,-72.0662,39.15,5.75
107,puerto carreno,75,CO,1650842775,66,6.189,-67.4859,85.98,4.61
108,mabaruma,100,GY,1650842582,89,8.2,-59.7833,76.15,3.8
109,olafsvik,95,IS,1650842776,75,64.8945,-23.7142,45.79,7.11
110,quibdo,40,CO,1650842776,78,5.6947,-76.6611,80.94,0
111,upernavik,17,GL,1650842776,91,72.7868,-56.1549,4.42,8.57
112,lagos,100,NG,1650842656,88,6.5833,3.75,77.32,3.71
113,genhe,98,CN,1650842777,82,50.7833,121.5167,32.9,3.15
114,santa fe,79,AR,1650842482,80,-31.6333,-60.7,73.98,1.99
115,senanga,29,ZM,1650842777,72,-16.1167,23.2667,67.53,5.08
116,srivardhan,3,IN,1650842777,70,18.0333,73.0167,81.75,9.6
117,hithadhoo,63,MV,1650842838,72,-0.6,73.0833,84.25,8.81
118,hilo,75,US,1650842838,75,19.7297,-155.09,82.27,9.22
119,lasa,81,IT,1650842839,93,46.6166,10.7002,45.48,3.6
120,lalomanu,,,,,,,,
121,monroe,75,US,1650842650,59,43.1501,-77.6831,77.27,6.91
122,ponta do sol,95,PT,1650842740,86,32.6667,-17.1,65.01,7.99
123,kingaroy,100,AU,1650842839,94,-26.5333,151.8333,62.64,10.36
124,irimbo,52,MX,1650842839,34,19.7,-100.4792,75.99,6.26
125,snezhnogorsk,99,RU,1650842840,94,69.1933,33.2531,35.38,4.9
126,galveston,100,US,1650842840,84,29.3669,-94.9669,81.18,14.97
127,avarua,40,CK,1650842751,78,-21.2078,-159.775,82.45,6.91
128,cabo san lucas,0,MX,1650842817,60,22.8909,-109.9124,81.61,5.75
129,itarema,,,,,,,,
130,san cristobal,73,VE,1650842841,93,7.7669,-72.225,69.98,1.97
131,tuktoyaktuk,0,CA,1650842590,80,69.4541,-133.0374,26.6,6.91
132,saleaula,,,,,,,,
133,alta floresta,99,BR,1650842842,85,-9.8756,-56.0861,76.73,3.76
134,sargatskoye,32,RU,1650842842,60,55.6101,73.4972,33.67,7.56
135,bengkulu,100,ID,1650842842,89,-3.8004,102.2655,75.42,4.14
136,ruteng,19,ID,1650842843,85,-8.6136,120.4721,62.37,1.54
137,port elizabeth,0,ZA,1650842843,68,-33.918,25.5701,57.49,9.22
138,ukiah,0,US,1650842569,36,39.1502,-123.2078,78.44,11.5
139,hervey bay,,,,,,,,
140,belaya gora,100,RU,1650842843,90,68.5333,146.4167,15.44,5.06
141,ramhormoz,100,IR,1650842844,23,31.28,49.6035,79.83,1.48
142,lar,0,IN,1650842844,13,26.2039,83.9717,82.51,8.12
143,coquimbo,100,CL,1650842615,94,-29.9533,-71.3436,56.93,5.75
144,kupang,88,ID,1650842844,75,-10.1667,123.5833,77.7,3.2
145,korla,46,CN,1650842845,30,41.7597,86.1469,64.11,15.21
146,erandique,97,HN,1650842845,85,14.2333,-88.4667,71.31,1.43
147,taltal,11,CL,1650842845,84,-25.4,-70.4833,63.03,4.05
148,zyryanovsk,73,KZ,1650842846,61,49.7386,84.2719,30.36,2.95
149,ferkessedougou,80,CI,1650842846,29,9.6,-5.2,85.32,4.09
150,kahului,20,US,1650842846,62,20.8947,-156.47,84.22,26.46
151,victoria,12,HK,1650842847,86,22.2855,114.1577,81.32,8.01
152,guerrero negro,0,MX,1650842817,41,27.9769,-114.0611,73.08,15.77
153,palabuhanratu,,,,,,,,
154,trinidad,75,BO,1650842847,83,-14.8333,-64.9,82.38,0
155,bull savanna,99,JM,1650842847,76,17.8868,-77.5902,76.15,10.85
156,acarau,88,BR,1650842848,85,-2.8856,-40.12,77.68,8.75
157,plattsburgh,0,US,1650842848,35,44.6995,-73.4529,60.31,4.61
